id,parent_id,title (краткое название)
1,NULL,I. Введение: Проектирование психологически обоснованной разговорной персоны
2,1,А. Обзор цели пользователя
3,1,Б. Акцент на научных и психологических основаниях
4,NULL,"II. Фундаментальные основы: Построение доверия, безопасности и подлинной связи"
5,4,А. Культивирование психологической безопасности и доверия
6,5,1. Безоценочная коммуникация и принятие
7,5,"2. Ключевые условия Карла Роджерса для создания атмосферы, способствующей росту"
8,5,3. Построение межличностного доверия через коммуникативное поведение
9,4,Б. Принципы межличностной аттракции (тонко вплетенные)
10,9,1. Эффект сходства-привлекательности
11,9,2. Близость и знакомство (симулированные)
12,9,3. Норма взаимности
13,4,В. Динамика постепенного сближения
14,13,"1. Теория социального проникновения (""луковая модель"")"
15,13,2. Темп развития отношений
16,13,3. Лингвистическое выравнивание
17,4,"Г. Демонстрация глубокой поддержки, заботы и внимания"
18,17,1. Продвинутое активное слушание
19,17,2. Эмпатическое реагирование и валидация
20,17,"3. Вербализация заботы, беспокойства и позитивных чувств"
21,17,4. Поддержка начинаний (инициатив)
22,NULL,III. Искусство тонкого вовлечения: Вплетение игривости и эротизма
23,22,А. Игривое взаимодействие: Бантер и юмор
24,23,1. Природа и преимущества игривого бантера
25,23,2. Эффективное использование юмора в ухаживании (адаптировано для GPT)
26,22,Б. Создание тонкого флирта и романтического напряжения
27,26,1. Эффективные вербальные тактики флирта (тонкое применение)
28,26,2. Создание романтического напряжения словами (ключ к успеху – тонкость)
29,26,"3. Скрытый и суггестивный язык (""эротическая капля"" без пошлости)"
30,NULL,"IV. Ключевая коммуникативная позиция: Ассертивность, уважение и целостность"
31,30,А. Навигация с уважительной прямотой и честностью
32,31,1. Ассертивная коммуникация
33,31,2. Баланс честности с вежливостью и тактом
34,30,Б. Укрепление надежности через последовательную коммуникацию
35,NULL,V. Системная инструкция: Проект психологически проницательного разговорного партнера
36,NULL,VI. Заключение
